id,anio,sector_id,actividad,subactividad,categoria,id_ipcc,gas_id,valor_tco2e,tipo_de_registro
107,1997,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,95",Emisión
108,1998,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,22",Emisión
109,1999,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,9",Emisión
110,2000,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,76",Emisión
111,2001,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,57",Emisión
112,2002,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,78",Emisión
113,2003,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,3",Emisión
114,2004,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,99",Emisión
115,2005,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,59",Emisión
116,2006,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,96",Emisión
117,2007,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,37",Emisión
118,2008,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,77",Emisión
119,2009,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,23",Emisión
120,2010,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,35",Emisión
121,2011,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,96",Emisión
122,2012,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,02",Emisión
123,2013,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,06",Emisión
124,2014,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,93",Emisión
125,2015,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,09",Emisión
126,2016,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,05",Emisión
127,2017,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,66",Emisión
128,2018,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"6,79",Emisión
129,2019,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"6,33",Emisión
130,2020,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"7,09",Emisión
131,2021,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,91",Emisión
132,2022,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,47",Emisión
133,1990,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
134,1991,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
135,1992,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
136,1993,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
137,1994,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
138,1995,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
139,1996,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
140,1997,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
141,1998,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
142,1999,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
143,2000,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
144,2001,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
145,2002,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
146,2003,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
147,2004,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
148,2005,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
149,2006,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
150,2007,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
151,2008,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
152,2009,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
153,2010,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
154,2011,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
155,2012,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
156,2013,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
157,2014,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
158,2015,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
159,2016,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
160,2017,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
161,2018,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
162,2019,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
163,2020,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
164,2021,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
165,2022,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,1,"0,0",Sin emisión/remoción
166,1990,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
167,1991,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
168,1992,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
169,1993,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
170,1994,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
171,1995,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
172,1996,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
173,1997,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
174,1998,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
175,1999,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
176,2000,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
177,2001,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
178,2002,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
179,2003,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
180,2004,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
181,2005,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
182,2006,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
183,2007,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
184,2008,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
185,2009,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
186,2010,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
187,2011,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
188,2012,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
189,2013,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
190,2014,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
191,2015,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
192,2016,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
193,2017,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
194,2018,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
195,2019,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
196,2020,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,01",Emisión
197,2021,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
198,2022,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,4,"0,0",Sin emisión/remoción
199,1990,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"3,26",Emisión
200,1991,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"4,37",Emisión
201,1992,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"3,55",Emisión
202,1993,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"2,85",Emisión
203,1994,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"3,13",Emisión
204,1995,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"3,38",Emisión
205,1996,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"4,37",Emisión
